GEOID,pop
36005044800,2181
36005044901,1465
36005044902,2031
36005045101,1531
36005045102,1893
36005045600,3275
36005045800,5243
36005046000,2849
36005046201,28926
36005046202,9409
36005048400,4377
36005050400,63
36005051600,4439
36047000100,4304
36047000200,1868
36047000301,3985
36047000501,4759
36047000502,2600
36047000700,4029
36047000900,4162
36047001100,967
36047001300,2562
36047001500,5962
36047001800,2075
36047002000,1368
36047002100,4295
36047002200,4902
36047002300,4342
36047002901,3532
36047003000,1841
36047003100,2837
36047003300,3157
36047003400,3038
36047003500,1550
36047003600,4457
36047003700,1087
36047003800,1555
36047003900,2455
36047004100,3540
36047004300,3191
36047004400,2420
36047004500,3318
36047004600,1420
36047004700,1889
36047004900,2520
36047005000,2510
36047005100,2143
36047005201,1722
36047005202,2436
36047005300,2423
36047005400,3406
36047005601,2482
36047005602,1730
36047005800,3333
36047005900,1429
36047006000,2717
36047006200,2818
36047006300,1952
36047006400,3244
36047006500,5412
36047006600,3797
36047006700,3799
36047006800,5290
36047006900,3582
36047007000,2463
36047007100,5002
36047007200,2341
36047007400,6061
36047007500,4774
36047007600,4775
36047007700,4409
36047007800,5493
36047008000,4373
36047008200,4148
36047008400,3860
36047008500,6916
36047008600,0
36047008800,3397
36047009000,3224
36047009200,5407
36047009400,5837
36047009600,5951
36047009800,8178
36047010000,6312
36047010100,4402
36047010200,5265
36047010400,5937
36047010600,5747
36047010800,4267
36047011000,2708
36047011200,6527
36047011400,4500
36047011600,4274
36047011700,2674
36047011800,2128
36047011900,1614
36047012000,1255
36047012100,1807
36047012200,5697
36047012600,2767
36047012700,3929
36047012801,2094
36047012901,2577
36047012902,2064
36047013000,5224
36047013100,4244
36047013200,2397
36047013300,4674
36047013400,3860
36047013500,3694
36047013600,3813
36047013700,3278
36047013800,3423
36047013900,3652
36047014000,1843
36047014100,3928
36047014200,3105
36047014300,3610
36047014500,4424
36047014700,2104
36047014800,1256
36047014900,5772
36047015000,1642
36047015100,4273
36047015200,2567
36047015300,2961
36047015400,0
36047015500,3674
36047015700,4289
36047015900,5157
36047016000,4475
36047016100,3139
36047016200,2560
36047016300,3223
36047016400,654
36047016500,5706
36047016600,2080
36047016700,5278
36047016800,1801
36047016900,4779
36047017000,4115
36047017100,3943
36047017200,4040
36047017400,1908
36047017500,0
36047017600,2322
36047017700,0
36047017800,3226
36047017900,4131
36047018000,3512
36047018100,3424
36047018200,3600
36047018300,2692
36047018400,2551
36047018501,4530
36047018600,2072
36047018700,1405
36047018800,2879
36047019000,5134
36047019100,2902
36047019200,3398
36047019300,5761
36047019400,3786
36047019500,4188
36047019600,5120
36047019700,3508
36047019800,1978
36047019900,2863
36047020000,2216
36047020100,3886
36047020200,2131
36047020300,1688
36047020400,1947
36047020500,2747
36047020600,2706
36047020700,4536
36047020800,3272
36047021000,4946
36047021100,1362
36047021200,5176
36047021300,4296
36047021400,2437
36047021500,5136
36047021600,4458
36047021700,3904
36047021800,4389
36047021900,3617
36047022000,4313
36047022100,4255
36047022200,4524
36047022400,5981
36047022600,2438
36047022700,3725
36047022800,3367
36047022900,3780
36047023000,3832
36047023100,3506
36047023200,5753
36047023300,4863
36047023400,5162
36047023500,4015
36047023600,5693
36047023800,4142
36047024000,4471
36047024100,2375
36047024200,3052
36047024300,4273
36047024400,3757
36047024500,3855
36047024600,3195
36047024700,2104
36047024800,3056
36047024900,3973
36047025000,1527
36047025100,3522
36047025200,5337
36047025300,2540
36047025400,4256
36047025500,5270
36047025600,3195
36047025700,2177
36047025800,4225
36047025901,1914
36047025902,3737
36047026000,3687
36047026100,4987
36047026200,2422
36047026300,2002
36047026400,4946
36047026500,3558
36047026600,3418
36047026700,3531
36047026800,3690
36047026900,2685
36047027000,2539
36047027100,2502
36047027200,3692
36047027300,2649
36047027400,3090
36047027500,4346
36047027600,4325
36047027700,4975
36047027800,3418
36047027900,3914
36047028000,1690
36047028100,4882
36047028200,3226
36047028300,4150
36047028400,3662
36047028501,293
36047028502,2626
36047028600,4692
36047028700,2774
36047028800,3495
36047028900,3408
36047029000,4017
36047029100,2843
36047029200,2540
36047029300,3426
36047029400,2489
36047029500,3803
36047029600,5711
36047029700,3969
36047029800,3871
36047029900,2663
36047030000,4048
36047030100,2752
36047030200,4355
36047030300,5018
36047030400,3742
36047030500,5951
36047030600,2029
36047030700,4304
36047030800,1898
36047030900,2134
36047031100,2805
36047031300,4242
36047031400,4409
36047031500,4798
36047031701,3262
36047031702,3857
36047031900,3782
36047032100,5897
36047032300,3835
36047032500,6446
36047032600,6947
36047032700,2501
36047032800,2621
36047032900,5783
36047033000,4634
36047033100,4378
36047033300,4719
36047033500,3115
36047033600,4008
36047033700,3818
36047033900,4495
36047034000,2166
36047034100,2803
36047034200,5748
36047034300,5097
36047034500,2899
36047034700,3326
36047034800,2185
36047034900,5297
36047035000,2806
36047035100,4437
36047035200,1035
36047035300,5140
36047035400,5373
36047035500,5620
36047035601,2592
36047035602,4835
36047035700,2499
36047035900,5213
36047036001,2899
36047036002,3975
36047036100,2375
36047036200,3345
36047036300,4076
36047036400,2077
36047036501,2677
36047036502,1164
36047036600,4702
36047036700,1426
36047036900,4839
36047037000,4074
36047037100,4705
36047037300,4110
36047037401,4174
36047037402,4668
36047037500,3129
36047037700,4240
36047037900,3537
36047038100,5550
36047038200,5786
36047038300,4655
36047038500,3364
36047038600,3622
36047038700,4058
36047038800,4049
36047038900,3249
36047039000,2318
36047039100,3086
36047039200,2807
36047039300,3444
36047039400,2480
36047039500,3789
36047039600,2090
36047039700,3261
36047039800,2859
36047039900,3384
36047040000,3429
36047040100,3356
36047040200,2683
36047040300,3724
36047040400,2451
36047040500,1539
36047040600,3335
36047040700,0
36047040800,3304
36047040900,3738
36047041000,1854
36047041100,3387
36047041200,2835
36047041300,4365
36047041401,1480
36047041402,1611
36047041500,4478
36047041600,2644
36047041700,3158
36047041800,2314
36047041900,4030
36047042000,1894
36047042100,4016
36047042200,3474
36047042300,4986
36047042400,3432
36047042500,2906
36047042600,4408
36047042700,5609
36047042800,3760
36047042900,5743
36047043000,3394
36047043100,5655
36047043200,4790
36047043300,4601
36047043400,3368
36047043500,5156
36047043600,4823
36047043700,6122
36047043800,2632
36047043900,4155
36047044000,2943
36047044100,6156
36047044200,2743
36047044300,5378
36047044400,3409
36047044500,4963
36047044600,2021
36047044700,2480
36047044800,1924
36047044900,3465
36047045000,498
36047045200,2638
36047045300,2262
36047045400,1896
36047045600,2562
36047045800,1651
36047046000,4028
36047046201,2685
36047046202,2191
36047046400,2710
36047046800,2326
36047047000,2806
36047047200,2931
36047047400,2929
36047047600,3958
36047047700,3760
36047047800,4320
36047048000,3623
36047048100,3092
36047048200,5688
36047048400,6210
36047048500,3034
36047048600,3355
36047048800,3961
36047048900,3829
36047049000,6156
36047049100,6017
36047049200,3637
36047049300,7398
36047049400,5574
36047049500,2702
36047049600,3933
36047049700,2776
36047049800,4535
36047049900,1728
36047050000,3684
36047050100,2962
36047050202,2405
36047050300,2431
36047050400,4824
36047050500,4289
36047050600,5740
36047050700,2417
36047050801,3948
36047050803,2111
36047050804,5782
36047050900,4104
36047051001,4274
36047051002,5028
36047051100,3798
36047051200,6103
36047051300,4458
36047051400,7261
36047051500,1367
36047051601,5186
36047051602,3819
36047051700,1998
36047051800,3481
36047051900,4299
36047052000,4566
36047052300,5670
36047052500,3338
36047052600,4712
36047052700,6705
36047052800,1843
36047052900,3994
36047053000,3619
36047053100,8924
36047053200,2539
36047053300,6905
36047053400,4227
36047053500,4326
36047053700,3392
36047053800,4265
36047053900,2638
36047054200,4719
36047054300,382
36047054400,2918
36047054500,7169
36047054600,4457
36047054700,5071
36047054800,2193
36047054900,3480
36047055000,3744
36047055100,6138
36047055200,3179
36047055300,2899
36047055400,4028
36047055500,5178
36047055600,3591
36047055700,2384
36047055800,2244
36047056000,3681
36047056100,3003
36047056200,1519
36047056300,4519
36047056400,2545
36047056500,3125
36047056600,2747
36047056800,1382
36047056900,1432
36047057000,3321
36047057100,3886
36047057200,4954
36047057300,2375
36047057400,2881
36047057500,4028
36047057600,3070
36047057800,3260
36047057900,1016
36047058000,3999
36047058200,3150
36047058400,3303
36047058600,2658
36047058800,3505
36047058900,1786
36047059000,1893
36047059100,3818
36047059200,4599
36047059300,2036
36047059401,7740
36047059402,4817
36047059600,2451
36047059800,3484
36047060000,5984
36047060600,2482
36047060800,3126
36047061002,4282
36047061003,1838
36047061004,6231
36047061200,874
36047061600,1572
36047062000,1891
36047062200,3150
36047062600,2670
36047062800,5130
36047063200,1458
36047063600,1349
36047063800,1649
36047064000,2017
36047064200,2434
36047064400,2814
36047064600,2402
36047064800,1918
36047065000,1322
36047065200,1241
36047065400,1765
36047065600,1827
36047065800,1954
36047066000,2058
36047066200,1729
36047066600,0
36047067000,2763
36047067200,1699
36047067400,1938
36047067600,2057
36047067800,2392
36047068000,2155
36047068200,3037
36047068600,1660
36047068800,1863
36047069000,1801
36047069200,2842
36047069601,4032
36047069602,6667
36047069800,1448
36047070000,1798
36047070201,6015
36047070202,16
36047070203,0
36047070600,2748
36047072000,1969
36047072200,2896
36047072400,2038
36047072600,2110
36047072800,4050
36047073000,2550
36047073200,2858
36047073400,2357
36047073600,3624
36047073800,3583
36047074000,4264
36047074200,3590
36047074400,2500
36047074600,2278
36047074800,1906
36047075000,2888
36047075200,1021
36047075400,1573
36047075600,1971
36047075800,1841
36047076000,3013
36047076200,4875
36047076400,4070
36047076600,2467
36047076800,3308
36047077000,3302
36047077200,2917
36047077400,3333
36047077600,3956
36047078000,2586
36047078200,4685
36047078400,2806
36047078600,4893
36047078800,3237
36047079000,5288
36047079200,3771
36047079400,1964
36047079601,4728
36047079602,4642
36047079801,2886
36047079802,5956
36047080000,3797
36047080200,5031
36047080400,3282
36047080600,4241
36047080800,1256
36047081000,2194
36047081400,2801
36047081600,2852
36047081800,4409
36047082000,4856
36047082200,7608
36047082400,4323
36047082600,4880
36047082800,3627
36047083000,6023
36047083200,2341
36047083400,1654
36047083600,2005
36047083800,2407
36047084000,2267
36047084600,1704
36047084800,1609
36047085000,1600
36047085200,8
36047085400,1941
36047085600,3290
36047085800,2378
36047086000,3691
36047086200,3003
36047086400,2203
36047086600,3175
36047086800,3118
36047087000,3187
36047087200,2726
36047087401,3122
36047087600,1693
36047087800,2816
36047088000,3208
36047088200,6660
36047088400,4923
36047088600,4472
36047088800,4274
36047089000,6750
36047089200,3651
36047089400,3751
36047089600,3411
36047089800,1777
36047090000,5358
36047090200,3886
36047090600,4318
36047090800,5679
36047091000,6094
36047091200,6627
36047091600,4790
36047091800,3058
36047092000,3406
36047092200,2880
36047092400,3420
36047092800,2680
36047093000,2581
36047093200,1336
36047093400,2464
36047093600,1882
36047093800,2196
36047094401,3916
36047094402,2907
36047094600,1990
36047095000,3236
36047095400,4852
36047095600,4618
36047095800,3840
36047096000,0
36047096200,1828
36047096400,2212
36047096600,2359
36047096800,1481
36047097000,2186
36047097400,3142
36047098200,4124
36047098400,2035
36047098600,3362
36047098800,3117
36047099000,1552
36047099200,2103
36047099400,2023
36047099600,3819
36047099800,3702
36047100400,2831
36047100600,2561
36047100800,2138
36047101000,2042
36047101200,2144
36047101400,2240
36047101600,1594
36047101800,1718
36047102000,2132
36047102200,2205
36047102400,2110
36047102600,2508
36047102800,1529
36047103400,4029
36047105801,6403
36047105804,6416
36047107000,1141
36047107800,3988
36047109800,2160
36047110400,4948
36047110600,4438
36047111000,3400
36047111600,3739
36047111800,2986
36047112000,3221
36047112200,3755
36047112400,3399
36047112600,3826
36047112800,3829
36047113000,4386
36047113200,1917
36047113400,3107
36047114201,1748
36047114202,2656
36047114400,2587
36047114600,3119
36047115000,2776
36047115200,3213
36047115600,4154
36047115800,2938
36047116000,2139
36047116200,2073
36047116400,3104
36047116600,2865
36047116800,1579
36047117000,1606
36047117201,2536
36047117202,3121
36047117400,4268
36047117601,3037
36047117602,2800
36047117800,1665
36047118000,0
36047118201,3054
36047118202,2765
36047118400,5428
36047118600,2790
36047118800,4519
36047119000,2611
36047119200,3231
36047119400,3626
36047119600,4864
36047119800,3538
36047120000,2230
36047120200,2057
36047120800,8566
36047121000,4258
36047121400,4465
36047122000,5573
36047123700,6522
36047150200,2946
36047152200,3755
36047990100,0
36061000100,0
36061000201,2791
36061000202,7768
36061000500,0
36061000600,12554
36061000700,8794
36061000800,9465
36061000900,1626
36061001001,1528
36061001002,6051
36061001200,3755
36061001300,4374
36061001401,3155
36061001402,2932
36061001501,6502
36061001502,7378
36061001600,7550
36061001800,8326
36061002000,4864
36061002100,6735
36061002201,6861
36061002202,2019
36061002400,5557
36061002500,5137
36061002601,4087
36061002602,4266
36061002700,1343
36061002800,7240
36061002900,6050
36061003001,4216
36061003002,2831
36061003100,2673
36061003200,7871
36061003300,5005
36061003400,6476
36061003601,3238
36061003602,3140
36061003700,2666
36061003800,8614
36061003900,5216
36061004000,8947
36061004100,7897
36061004200,5338
36061004300,4288
36061004400,16200
36061004500,984
36061004700,2360
36061004800,7325
36061004900,4388
36061005000,4998
36061005200,3726
36061005400,4581
36061005501,4747
36061005502,2278
36061005600,2963
36061005700,2899
36061005800,3206
36061005900,5604
36061006000,5063
36061006100,5032
36061006200,4536
36061006300,6330
36061006400,8012
36061006500,6264
36061006600,11252
36061006700,5011
36061006800,7413
36061006900,2604
36061007000,8131
36061007100,6115
36061007200,7640
36061007300,5677
36061007400,3752
36061007500,4358
36061007600,1912
36061007700,5599
36061007800,8032
36061007900,4101
36061008000,5045
36061008100,8957
36061008200,3060
36061008300,3929
36061008400,2054
36061008601,2807
36061008602,0
36061008603,4272
36061008700,7159
36061008800,6781
36061008900,5531
36061009000,7306
36061009100,6665
36061009200,1717
36061009300,10650
36061009400,15
36061009500,3299
36061009600,149
36061009700,5163
36061009800,7654
36061009900,4938
36061010000,1683
36061010100,1259
36061010200,258
36061010300,1841
36061010400,982
36061010601,7259
36061010602,4482
36061010800,9116
36061010900,186
36061011000,7456
36061011100,4680
36061011201,792
36061011202,287
36061011203,1166
36061011300,126
36061011401,1276
36061011402,2345
36061011500,3035
36061011600,3076
36061011700,3870
36061011800,9296
36061011900,1068
36061012000,3158
36061012100,8192
36061012200,3126
36061012400,10402
36061012500,2483
36061012600,12427
36061012700,6974
36061012800,6226
36061012900,5755
36061013000,3277
36061013100,2775
36061013200,10095
36061013300,4858
36061013400,11688
36061013500,6384
36061013600,15880
36061013700,6698
36061013800,13162
36061013900,8252
36061014000,7671
36061014200,4467
36061014300,5
36061014401,5228
36061014402,7675
36061014500,5195
36061014601,4463
36061014602,7748
36061014700,3161
36061014801,3081
36061014802,6751
36061014900,5934
36061015001,1952
36061015002,5171
36061015100,7481
36061015200,7574
36061015300,9358
36061015400,14693
36061015500,10151
36061015601,5408
36061015602,2217
36061015700,9521
36061015801,5799
36061015802,4808
36061015900,9120
36061016001,3861
36061016002,3562
36061016100,6189
36061016200,9195
36061016300,7101
36061016400,6901
36061016500,6760
36061016600,7313
36061016700,6468
36061016800,4693
36061016900,7864
36061017000,7824
36061017100,9135
36061017200,5655
36061017300,8486
36061017401,4127
36061017402,2309
36061017500,10840
36061017700,9522
36061017800,3825
36061017900,9064
36061018000,8275
36061018100,9008
36061018200,7206
36061018300,8232
36061018400,7796
36061018500,5174
36061018600,7310
36061018700,8310
36061018800,5452
36061018900,12825
36061019000,3194
36061019100,9545
36061019200,4066
36061019300,9327
36061019400,6861
36061019500,7608
36061019600,4327
36061019701,939
36061019702,2127
36061019800,2513
36061019900,9722
36061020000,3176
36061020101,1807
36061020102,4290
36061020300,3142
36061020500,5069
36061020600,2949
36061020701,3392
36061020800,5320
36061020901,4064
36061021000,7084
36061021100,10211
36061021200,4412
36061021303,6087
36061021400,3007
36061021500,3756
36061021600,8413
36061021703,8
36061021800,7569
36061021900,6401
36061022000,5379
36061022102,2351
36061022200,3089
36061022301,7967
36061022302,3432
36061022400,7962
36061022500,10269
36061022600,4235
36061022700,5319
36061022800,5814
36061022900,8598
36061023000,9259
36061023100,6890
36061023200,8370
36061023300,6808
36061023400,5225
36061023501,6647
36061023502,1840
36061023600,7004
36061023700,7450
36061023801,9403
36061023802,2380
36061023900,2810
36061024000,1688
36061024100,7911
36061024200,3972
36061024301,3926
36061024302,7239
36061024500,16231
36061024700,7960
36061024900,1324
36061025100,2629
36061025300,12189
36061025500,5420
36061025700,4446
36061025900,4155
36061026100,13496
36061026300,9715
36061026500,8056
36061026700,2342
36061026900,8651
36061027100,9704
36061027300,6935
36061027500,3712
36061027700,7558
36061027900,11069
36061028100,3190
36061028300,7720
36061028500,7778
36061028700,4135
36061029100,12337
36061029300,9381
36061029500,8164
36061029700,48
36061029900,4581
36061030300,4670
36061030700,3495
36061030900,9398
36061031100,0
36061031703,8875
36061031704,6887
36061031900,0
36081000100,6403
36081000200,3364
36081000400,4559
36081000600,3807
36081000700,5815
36081000800,3543
36081001000,3884
36081001200,4998
36081001400,3781
36081001600,3244
36081001800,3443
36081001900,1655
36081002000,1950
36081002200,2178
36081002400,2278
36081002500,6392
36081002600,2467
36081002800,2971
36081003000,1587
36081003100,1058
36081003200,1613
36081003300,2806
36081003400,2389
36081003600,3724
36081003700,0
36081003800,2521
36081003900,1646
36081004001,2228
36081004002,1551
36081004200,4801
36081004300,2418
36081004401,3716
36081004500,3533
36081004700,4011
36081005000,37
36081005100,2194
36081005200,2746
36081005300,4043
36081005400,5630
36081005500,943
36081005700,4315
36081005800,5785
36081005900,4174
36081006100,5980
36081006201,5996
36081006202,7378
36081006300,5434
36081006501,3550
36081006502,3845
36081006900,4649
36081007100,3825
36081007300,4365
36081007500,4325
36081007700,1446
36081007900,3425
36081008100,1213
36081008300,3527
36081008500,1138
36081008600,2849
36081008700,5107
36081008800,3928
36081009100,2863
36081009400,2962
36081009500,2755
36081009600,4079
36081009700,3410
36081009800,2818
36081009900,0
36081010000,3833
36081010100,2501
36081010200,3164
36081010300,3812
36081010400,3442
36081010500,4115
36081010600,3741
36081010701,0
36081010800,3530
36081011000,3586
36081011100,3440
36081011200,2168
36081011300,4229
36081011400,1050
36081011500,2356
36081011600,2309
36081011700,3706
36081011800,2766
36081011900,1674
36081012000,2467
36081012100,2247
36081012200,3632
36081012301,2670
36081012400,3118
36081012500,1829
36081012601,2728
36081012602,2666
36081012800,2245
36081013000,1645
36081013200,2329
36081013400,5920
36081013500,1696
36081013600,2063
36081013700,1789
36081013800,3600
36081014000,3733
36081014100,1729
36081014201,4452
36081014202,2749
36081014300,4057
36081014400,2033
36081014500,2313
36081014700,3367
36081014800,2200
36081014900,2430
36081015000,2895
36081015100,2717
36081015200,2808
36081015300,2159
36081015400,2524
36081015500,2336
36081015600,3104
36081015700,1457
36081015801,3564
36081015802,4679
36081015900,3964
36081016100,2606
36081016300,3788
36081016400,3691
36081016600,3409
36081016800,3413
36081016900,5561
36081017000,2339
36081017100,0
36081017200,2355
36081017400,2867
36081017600,2498
36081017800,2242
36081017900,994
36081018000,1456
36081018101,4293
36081018102,3755
36081018200,2416
36081018300,6322
36081018401,2272
36081018402,2342
36081018501,3685
36081018502,3557
36081018600,1908
36081018700,3074
36081018800,1476
36081018900,3470
36081019000,2291
36081019200,2009
36081019400,2508
36081019600,2756
36081019800,2981
36081019900,1074
36081020200,1693
36081020400,2195
36081020500,994
36081020600,1855
36081020800,2554
36081021200,2362
36081021400,6415
36081021600,4373
36081021900,4
36081022001,5889
36081022002,6421
36081022900,0
36081023000,2430
36081023200,5619
36081023500,8855
36081023600,2707
36081023800,4705
36081024000,6087
36081024300,6119
36081024500,6158
36081024600,0
36081024700,1574
36081024900,5099
36081025100,5909
36081025301,3967
36081025302,2881
36081025400,9094
36081025500,1423
36081025700,1327
36081025800,2048
36081025900,3353
36081026000,2818
36081026100,7098
36081026200,1208
36081026300,7124
36081026400,2365
36081026500,4127
36081026600,1933
36081026700,6563
36081026901,5089
36081026902,4557
36081027000,2080
36081027100,8512
36081027200,2432
36081027300,8196
36081027400,1781
36081027500,7489
36081027600,1262
36081027700,7638
36081027800,2437
36081027900,6233
36081028000,1775
36081028100,4435
36081028200,1703
36081028300,7318
36081028400,4367
36081028500,5120
36081028700,6423
36081028800,4693
36081028900,5574
36081029100,6605
36081029300,1217
36081029400,6827
36081029500,3722
36081029700,2128
36081029900,0
36081030600,4058
36081030902,7894
36081030903,6441
36081030904,3847
36081031700,6451
36081032000,5330
36081032700,4112
36081032800,2376
36081032900,4071
36081033000,7115
36081033100,0
36081033401,3516
36081033402,13061
36081033700,3555
36081033900,3374
36081034700,3394
36081035100,4215
36081035200,3044
36081035300,2451
36081035700,4204
36081035800,4094
36081036100,2956
36081036300,2105
36081036500,3822
36081036600,3041
36081036700,2644
36081036800,2446
36081037100,1789
36081037300,2500
36081037500,3946
36081037600,5979
36081037700,3717
36081037900,7287
36081038100,7798
36081038301,0
36081038302,0
36081038400,2420
36081039400,3010
36081039800,1731
36081039900,4181
36081040000,1476
36081040100,8193
36081040200,1617
36081040300,7310
36081040400,4316
36081040500,3339
36081040700,7632
36081040900,6017
36081041100,3873
36081041300,4822
36081041400,3677
36081041500,3687
36081042400,2612
36081042600,512
36081042700,5242
36081043200,1507
36081043400,1708
36081043701,3780
36081043702,6213
36081043900,4537
36081044000,3821
36081044301,3535
36081044302,4748
36081044400,3024
36081044601,3119
36081044602,5082
36081044800,2677
36081045000,1902
36081045200,1009
36081045400,4298
36081045500,13003
36081045600,1400
36081045700,2992
36081045800,2098
36081045900,3923
36081046000,5817
36081046100,2988
36081046200,8760
36081046300,3985
36081046400,1734
36081046500,3680
36081046600,3521
36081046700,6815
36081046800,3171
36081046900,8205
36081047000,3322
36081047100,4218
36081047200,4027
36081047300,3710
36081047500,4570
36081047600,1459
36081047800,5500
36081047900,5357
36081048000,2932
36081048100,6527
36081048200,1556
36081048300,4212
36081048400,4977
36081048500,4639
36081048900,1651
36081049200,4387
36081049301,1933
36081049302,2376
36081049500,1283
36081049600,3110
36081049700,2675
36081049900,4980
36081050000,4444
36081050201,1427
36081050202,1357
36081050400,2018
36081050500,1456
36081050600,1686
36081050700,3580
36081050800,2072
36081051000,2096
36081051100,1961
36081051200,2925
36081051300,2023
36081051500,2693
36081051600,1866
36081051700,1777
36081051800,2441
36081052000,1640
36081052100,1744
36081052200,1854
36081052400,1626
36081052500,1840
36081052600,1980
36081052800,1509
36081053000,2311
36081053100,2785
36081053200,1699
36081053401,2016
36081053500,1328
36081053601,1759
36081053800,1720
36081053900,4338
36081054000,4354
36081054200,5482
36081054500,3813
36081054700,5382
36081054800,2316
36081054900,5503
36081055100,4932
36081055200,3006
