,GEOID
166,36005023702
167,36005023703
168,36005023704
169,36005023800
170,36005023900
171,36005024000
172,36005024100
173,36005024300
174,36005024400
175,36005024501
176,36005024502
177,36005024600
178,36005024700
179,36005024800
180,36005024900
181,36005025000
182,36005025100
183,36005025200
184,36005025300
185,36005025400
186,36005025500
187,36005025600
188,36005025700
189,36005026100
190,36005026300
191,36005026400
192,36005026500
193,36005026601
194,36005026602
195,36005026701
196,36005026702
197,36005026900
198,36005027300
199,36005027401
200,36005027402
201,36005027600
202,36005027700
203,36005027900
204,36005028100
205,36005028300
206,36005028400
207,36005028500
208,36005028600
209,36005028700
210,36005028800
211,36005028900
212,36005029301
213,36005029302
214,36005029500
215,36005029600
216,36005029700
217,36005030000
218,36005030100
219,36005030200
220,36005030701
221,36005030900
222,36005031000
223,36005031200
224,36005031400
225,36005031600
226,36005031800
227,36005031900
228,36005032300
229,36005032400
230,36005032600
231,36005032800
232,36005033000
233,36005033201
234,36005033202
235,36005033400
236,36005033500
237,36005033600
238,36005033700
239,36005033800
240,36005034000
241,36005034200
242,36005034300
243,36005034400
244,36005034500
245,36005034800
246,36005035000
247,36005035100
248,36005035600
249,36005035800
250,36005035900
251,36005036000
252,36005036100
253,36005036300
254,36005036400
255,36005036501
256,36005036502
257,36005036700
258,36005036800
259,36005036901
260,36005036902
261,36005037000
262,36005037100
263,36005037200
264,36005037300
265,36005037400
266,36005037504
267,36005037600
268,36005037800
269,36005037900
270,36005038000
271,36005038100
272,36005038200
273,36005038301
274,36005038302
275,36005038500
276,36005038600
277,36005038700
278,36005038800
279,36005038900
280,36005039000
281,36005039100
282,36005039200
283,36005039300
284,36005039400
285,36005039500
286,36005039600
287,36005039700
288,36005039800
289,36005039901
290,36005039902
291,36005040100
292,36005040302
293,36005040303
294,36005040304
295,36005040400
296,36005040501
297,36005040502
298,36005040600
299,36005040701
300,36005040702
301,36005040800
302,36005040900
303,36005041100
304,36005041300
305,36005041400
306,36005041500
307,36005041800
308,36005041900
309,36005042000
310,36005042100
311,36005042200
312,36005042300
313,36005042400
314,36005042500
315,36005042600
316,36005042800
317,36005042901
318,36005042902
319,36005043000
320,36005043100
321,36005043400
322,36005043500
323,36005043600
324,36005044200
325,36005044400
326,36005044800
327,36005044901
328,36005044902
329,36005045101
330,36005045102
331,36005045600
332,36005045800
333,36005046000
334,36005046201
335,36005046202
336,36005048400
337,36005050400
338,36005051600
339,36047000100
340,36047000200
341,36047000301
342,36047000501
343,36047000502
344,36047000700
345,36047000900
346,36047001100
347,36047001300
348,36047001500
349,36047001800
350,36047002000
351,36047002100
352,36047002200
353,36047002300
354,36047002901
355,36047003000
356,36047003100
357,36047003300
358,36047003400
359,36047003500
360,36047003600
361,36047003700
362,36047003800
363,36047003900
364,36047004100
365,36047004300
366,36047004400
367,36047004500
368,36047004600
369,36047004700
370,36047004900
371,36047005000
372,36047005100
373,36047005201
374,36047005202
375,36047005300
376,36047005400
377,36047005601
378,36047005602
379,36047005800
380,36047005900
381,36047006000
382,36047006200
383,36047006300
384,36047006400
385,36047006500
386,36047006600
387,36047006700
388,36047006800
389,36047006900
390,36047007000
391,36047007100
392,36047007200
393,36047007400
394,36047007500
395,36047007600
396,36047007700
397,36047007800
398,36047008000
399,36047008200
400,36047008400
401,36047008500
402,36047008600
403,36047008800
404,36047009000
405,36047009200
406,36047009400
407,36047009600
408,36047009800
409,36047010000
410,36047010100
411,36047010200
412,36047010400
413,36047010600
414,36047010800
415,36047011000
416,36047011200
417,36047011400
418,36047011600
419,36047011700
420,36047011800
421,36047011900
422,36047012000
423,36047012100
424,36047012200
425,36047012600
426,36047012700
427,36047012801
428,36047012901
429,36047012902
430,36047013000
431,36047013100
432,36047013200
433,36047013300
434,36047013400
435,36047013500
436,36047013600
437,36047013700
438,36047013800
439,36047013900
440,36047014000
441,36047014100
442,36047014200
443,36047014300
444,36047014500
445,36047014700
446,36047014800
447,36047014900
448,36047015000
449,36047015100
450,36047015200
451,36047015300
452,36047015400
453,36047015500
454,36047015700
455,36047015900
456,36047016000
457,36047016100
458,36047016200
459,36047016300
460,36047016400
461,36047016500
462,36047016600
463,36047016700
464,36047016800
465,36047016900
466,36047017000
467,36047017100
468,36047017200
469,36047017400
470,36047017500
471,36047017600
472,36047017700
473,36047017800
474,36047017900
475,36047018000
476,36047018100
477,36047018200
478,36047018300
479,36047018400
480,36047018501
481,36047018600
482,36047018700
483,36047018800
484,36047019000
485,36047019100
486,36047019200
487,36047019300
488,36047019400
489,36047019500
490,36047019600
491,36047019700
492,36047019800
493,36047019900
494,36047020000
495,36047020100
496,36047020200
497,36047020300
498,36047020400
499,36047020500
500,36047020600
501,36047020700
502,36047020800
503,36047021000
504,36047021100
505,36047021200
506,36047021300
507,36047021400
508,36047021500
509,36047021600
510,36047021700
511,36047021800
512,36047021900
513,36047022000
514,36047022100
515,36047022200
516,36047022400
517,36047022600
518,36047022700
519,36047022800
520,36047022900
521,36047023000
522,36047023100
523,36047023200
524,36047023300
525,36047023400
526,36047023500
527,36047023600
528,36047023800
529,36047024000
530,36047024100
531,36047024200
532,36047024300
533,36047024400
534,36047024500
535,36047024600
536,36047024700
537,36047024800
538,36047024900
539,36047025000
540,36047025100
541,36047025200
542,36047025300
543,36047025400
544,36047025500
545,36047025600
546,36047025700
547,36047025800
548,36047025901
549,36047025902
550,36047026000
551,36047026100
552,36047026200
553,36047026300
554,36047026400
555,36047026500
556,36047026600
557,36047026700
558,36047026800
559,36047026900
560,36047027000
561,36047027100
562,36047027200
563,36047027300
564,36047027400
565,36047027500
566,36047027600
567,36047027700
568,36047027800
569,36047027900
570,36047028000
571,36047028100
572,36047028200
573,36047028300
574,36047028400
575,36047028501
576,36047028502
577,36047028600
578,36047028700
579,36047028800
580,36047028900
581,36047029000
582,36047029100
583,36047029200
584,36047029300
585,36047029400
586,36047029500
587,36047029600
588,36047029700
589,36047029800
590,36047029900
591,36047030000
592,36047030100
593,36047030200
594,36047030300
595,36047030400
596,36047030500
597,36047030600
598,36047030700
599,36047030800
600,36047030900
601,36047031100
602,36047031300
603,36047031400
604,36047031500
605,36047031701
606,36047031702
607,36047031900
608,36047032100
609,36047032300
610,36047032500
611,36047032600
612,36047032700
613,36047032800
614,36047032900
615,36047033000
616,36047033100
617,36047033300
618,36047033500
619,36047033600
620,36047033700
621,36047033900
622,36047034000
623,36047034100
624,36047034200
625,36047034300
626,36047034500
627,36047034700
628,36047034800
629,36047034900
630,36047035000
631,36047035100
632,36047035200
633,36047035300
634,36047035400
635,36047035500
636,36047035601
637,36047035602
638,36047035700
639,36047035900
640,36047036001
641,36047036002
642,36047036100
643,36047036200
644,36047036300
645,36047036400
646,36047036501
647,36047036502
648,36047036600
649,36047036700
650,36047036900
651,36047037000
652,36047037100
653,36047037300
654,36047037401
655,36047037402
656,36047037500
657,36047037700
658,36047037900
659,36047038100
660,36047038200
661,36047038300
662,36047038500
663,36047038600
664,36047038700
665,36047038800
666,36047038900
667,36047039000
668,36047039100
669,36047039200
670,36047039300
671,36047039400
672,36047039500
673,36047039600
674,36047039700
675,36047039800
676,36047039900
677,36047040000
678,36047040100
679,36047040200
680,36047040300
681,36047040400
682,36047040500
683,36047040600
684,36047040700
685,36047040800
686,36047040900
687,36047041000
688,36047041100
689,36047041200
690,36047041300
691,36047041401
692,36047041402
693,36047041500
694,36047041600
695,36047041700
696,36047041800
697,36047041900
698,36047042000
699,36047042100
700,36047042200
701,36047042300
702,36047042400
703,36047042500
704,36047042600
705,36047042700
706,36047042800
707,36047042900
708,36047043000
709,36047043100
710,36047043200
711,36047043300
712,36047043400
713,36047043500
714,36047043600
715,36047043700
716,36047043800
717,36047043900
718,36047044000
719,36047044100
720,36047044200
721,36047044300
722,36047044400
723,36047044500
724,36047044600
725,36047044700
726,36047044800
727,36047044900
728,36047045000
729,36047045200
730,36047045300
731,36047045400
732,36047045600
733,36047045800
734,36047046000
735,36047046201
736,36047046202
737,36047046400
738,36047046800
739,36047047000
740,36047047200
741,36047047400
742,36047047600
743,36047047700
744,36047047800
745,36047048000
746,36047048100
747,36047048200
748,36047048400
749,36047048500
750,36047048600
751,36047048800
752,36047048900
753,36047049000
754,36047049100
755,36047049200
756,36047049300
757,36047049400
758,36047049500
759,36047049600
760,36047049700
761,36047049800
762,36047049900
763,36047050000
764,36047050100
765,36047050202
766,36047050300
767,36047050400
768,36047050500
769,36047050600
770,36047050700
771,36047050801
772,36047050803
773,36047050804
774,36047050900
775,36047051001
776,36047051002
777,36047051100
778,36047051200
779,36047051300
780,36047051400
781,36047051500
782,36047051601
783,36047051602
784,36047051700
785,36047051800
786,36047051900
787,36047052000
788,36047052300
789,36047052500
790,36047052600
791,36047052700
792,36047052800
793,36047052900
794,36047053000
795,36047053100
796,36047053200
797,36047053300
798,36047053400
799,36047053500
800,36047053700
801,36047053800
802,36047053900
803,36047054200
804,36047054300
805,36047054400
806,36047054500
807,36047054600
808,36047054700
809,36047054800
810,36047054900
811,36047055000
812,36047055100
813,36047055200
814,36047055300
815,36047055400
816,36047055500
817,36047055600
818,36047055700
819,36047055800
820,36047056000
821,36047056100
822,36047056200
823,36047056300
824,36047056400
825,36047056500
826,36047056600
827,36047056800
828,36047056900
829,36047057000
830,36047057100
831,36047057200
832,36047057300
833,36047057400
834,36047057500
835,36047057600
836,36047057800
837,36047057900
838,36047058000
839,36047058200
840,36047058400
841,36047058600
842,36047058800
843,36047058900
844,36047059000
845,36047059100
846,36047059200
847,36047059300
848,36047059401
849,36047059402
850,36047059600
851,36047059800
852,36047060000
853,36047060600
854,36047060800
855,36047061002
856,36047061003
857,36047061004
858,36047061200
859,36047061600
860,36047062000
861,36047062200
862,36047062600
863,36047062800
864,36047063200
865,36047063600
866,36047063800
867,36047064000
868,36047064200
869,36047064400
870,36047064600
871,36047064800
872,36047065000
873,36047065200
874,36047065400
875,36047065600
876,36047065800
877,36047066000
878,36047066200
879,36047066600
880,36047067000
881,36047067200
882,36047067400
883,36047067600
884,36047067800
885,36047068000
886,36047068200
887,36047068600
888,36047068800
889,36047069000
890,36047069200
891,36047069601
892,36047069602
893,36047069800
894,36047070000
895,36047070201
896,36047070202
897,36047070203
898,36047070600
899,36047072000
900,36047072200
901,36047072400
902,36047072600
903,36047072800
904,36047073000
905,36047073200
906,36047073400
907,36047073600
908,36047073800
909,36047074000
910,36047074200
911,36047074400
912,36047074600
913,36047074800
914,36047075000
915,36047075200
916,36047075400
917,36047075600
918,36047075800
919,36047076000
920,36047076200
921,36047076400
922,36047076600
923,36047076800
924,36047077000
925,36047077200
926,36047077400
927,36047077600
928,36047078000
929,36047078200
930,36047078400
931,36047078600
932,36047078800
933,36047079000
934,36047079200
935,36047079400
936,36047079601
937,36047079602
938,36047079801
939,36047079802
940,36047080000
941,36047080200
942,36047080400
943,36047080600
944,36047080800
945,36047081000
946,36047081400
947,36047081600
948,36047081800
949,36047082000
950,36047082200
951,36047082400
952,36047082600
953,36047082800
954,36047083000
955,36047083200
956,36047083400
957,36047083600
958,36047083800
959,36047084000
960,36047084600
961,36047084800
962,36047085000
963,36047085200
964,36047085400
965,36047085600
966,36047085800
967,36047086000
968,36047086200
969,36047086400
970,36047086600
971,36047086800
972,36047087000
973,36047087200
974,36047087401
975,36047087600
976,36047087800
977,36047088000
978,36047088200
979,36047088400
980,36047088600
981,36047088800
982,36047089000
983,36047089200
984,36047089400
985,36047089600
986,36047089800
987,36047090000
988,36047090200
989,36047090600
990,36047090800
991,36047091000
992,36047091200
993,36047091600
994,36047091800
995,36047092000
996,36047092200
997,36047092400
998,36047092800
999,36047093000
1000,36047093200
1001,36047093400
1002,36047093600
1003,36047093800
1004,36047094401
1005,36047094402
1006,36047094600
1007,36047095000
1008,36047095400
1009,36047095600
1010,36047095800
1011,36047096000
1012,36047096200
1013,36047096400
1014,36047096600
1015,36047096800
1016,36047097000
1017,36047097400
1018,36047098200
1019,36047098400
1020,36047098600
1021,36047098800
1022,36047099000
1023,36047099200
1024,36047099400
1025,36047099600
1026,36047099800
1027,36047100400
1028,36047100600
1029,36047100800
1030,36047101000
1031,36047101200
1032,36047101400
1033,36047101600
1034,36047101800
1035,36047102000
1036,36047102200
1037,36047102400
1038,36047102600
1039,36047102800
1040,36047103400
1041,36047105801
1042,36047105804
1043,36047107000
1044,36047107800
1045,36047109800
1046,36047110400
1047,36047110600
1048,36047111000
1049,36047111600
1050,36047111800
1051,36047112000
1052,36047112200
1053,36047112400
1054,36047112600
1055,36047112800
1056,36047113000
1057,36047113200
1058,36047113400
1059,36047114201
1060,36047114202
1061,36047114400
1062,36047114600
1063,36047115000
1064,36047115200
1065,36047115600
1066,36047115800
1067,36047116000
1068,36047116200
1069,36047116400
1070,36047116600
1071,36047116800
1072,36047117000
1073,36047117201
1074,36047117202
1075,36047117400
1076,36047117601
1077,36047117602
1078,36047117800
1079,36047118000
1080,36047118201
1081,36047118202
1082,36047118400
1083,36047118600
1084,36047118800
1085,36047119000
1086,36047119200
1087,36047119400
1088,36047119600
1089,36047119800
1090,36047120000
1091,36047120200
1092,36047120800
1093,36047121000
1094,36047121400
1095,36047122000
1096,36047123700
1097,36047150200
1098,36047152200
1099,36047990100
1100,36061000100
1101,36061000201
1102,36061000202
1103,36061000500
1104,36061000600
1105,36061000700
1106,36061000800
1107,36061000900
1108,36061001001
1109,36061001002
1110,36061001200
1111,36061001300
1112,36061001401
1113,36061001402
1114,36061001501
1115,36061001502
1116,36061001600
1117,36061001800
1118,36061002000
1119,36061002100
1120,36061002201
1121,36061002202
1122,36061002400
1123,36061002500
1124,36061002601
1125,36061002602
1126,36061002700
1127,36061002800
1128,36061002900
1129,36061003001
1130,36061003002
1131,36061003100
1132,36061003200
1133,36061003300
1134,36061003400
1135,36061003601
1136,36061003602
1137,36061003700
1138,36061003800
1139,36061003900
1140,36061004000
1141,36061004100
1142,36061004200
1143,36061004300
1144,36061004400
1145,36061004500
1146,36061004700
1147,36061004800
1148,36061004900
1149,36061005000
1150,36061005200
1151,36061005400
1152,36061005501
1153,36061005502
1154,36061005600
1155,36061005700
1156,36061005800
1157,36061005900
1158,36061006000
1159,36061006100
1160,36061006200
1161,36061006300
1162,36061006400
1163,36061006500
1164,36061006600
1165,36061006700
1166,36061006800
1167,36061006900
1168,36061007000
1169,36061007100
1170,36061007200
1171,36061007300
1172,36061007400
1173,36061007500
1174,36061007600
1175,36061007700
1176,36061007800
1177,36061007900
1178,36061008000
1179,36061008100
1180,36061008200
1181,36061008300
1182,36061008400
1183,36061008601
1184,36061008602
1185,36061008603
1186,36061008700
1187,36061008800
1188,36061008900
1189,36061009000
1190,36061009100
1191,36061009200
1192,36061009300
1193,36061009400
1194,36061009500
1195,36061009600
1196,36061009700
1197,36061009800
1198,36061009900
1199,36061010000
1200,36061010100
1201,36061010200
1202,36061010300
1203,36061010400
1204,36061010601
1205,36061010602
1206,36061010800
1207,36061010900
1208,36061011000
1209,36061011100
1210,36061011201
1211,36061011202
1212,36061011203
1213,36061011300
1214,36061011401
1215,36061011402
1216,36061011500
1217,36061011600
1218,36061011700
1219,36061011800
1220,36061011900
1221,36061012000
1222,36061012100
1223,36061012200
1224,36061012400
1225,36061012500
1226,36061012600
1227,36061012700
1228,36061012800
1229,36061012900
1230,36061013000
1231,36061013100
1232,36061013200
1233,36061013300
1234,36061013400
1235,36061013500
1236,36061013600
1237,36061013700
1238,36061013800
1239,36061013900
1240,36061014000
1241,36061014200
1242,36061014300
1243,36061014401
1244,36061014402
1245,36061014500
1246,36061014601
1247,36061014602
1248,36061014700
1249,36061014801
1250,36061014802
1251,36061014900
1252,36061015001
1253,36061015002
1254,36061015100
1255,36061015200
1256,36061015300
1257,36061015400
1258,36061015500
1259,36061015601
1260,36061015602
1261,36061015700
1262,36061015801
1263,36061015802
1264,36061015900
1265,36061016001
1266,36061016002
1267,36061016100
1268,36061016200
1269,36061016300
1270,36061016400
1271,36061016500
1272,36061016600
1273,36061016700
1274,36061016800
1275,36061016900
1276,36061017000
1277,36061017100
1278,36061017200
1279,36061017300
1280,36061017401
1281,36061017402
1282,36061017500
1283,36061017700
1284,36061017800
1285,36061017900
1286,36061018000
1287,36061018100
1288,36061018200
1289,36061018300
1290,36061018400
1291,36061018500
1292,36061018600
1293,36061018700
1294,36061018800
1295,36061018900
1296,36061019000
1297,36061019100
1298,36061019200
1299,36061019300
1300,36061019400
1301,36061019500
1302,36061019600
1303,36061019701
1304,36061019702
1305,36061019800
1306,36061019900
1307,36061020000
1308,36061020101
1309,36061020102
1310,36061020300
1311,36061020500
1312,36061020600
1313,36061020701
1314,36061020800
1315,36061020901
1316,36061021000
1317,36061021100
1318,36061021200
1319,36061021303
1320,36061021400
1321,36061021500
1322,36061021600
1323,36061021703
1324,36061021800
1325,36061021900
1326,36061022000
1327,36061022102
1328,36061022200
1329,36061022301
1330,36061022302
1331,36061022400
1332,36061022500
1333,36061022600
1334,36061022700
1335,36061022800
1336,36061022900
1337,36061023000
1338,36061023100
1339,36061023200
1340,36061023300
1341,36061023400
1342,36061023501
1343,36061023502
1344,36061023600
1345,36061023700
1346,36061023801
1347,36061023802
1348,36061023900
1349,36061024000
1350,36061024100
1351,36061024200
1352,36061024301
1353,36061024302
1354,36061024500
1355,36061024700
1356,36061024900
1357,36061025100
1358,36061025300
1359,36061025500
1360,36061025700
1361,36061025900
1362,36061026100
1363,36061026300
1364,36061026500
1365,36061026700
1366,36061026900
1367,36061027100
1368,36061027300
1369,36061027500
1370,36061027700
1371,36061027900
1372,36061028100
1373,36061028300
1374,36061028500
1375,36061028700
1376,36061029100
1377,36061029300
1378,36061029500
1379,36061029700
1380,36061029900
1381,36061030300
1382,36061030700
1383,36061030900
1384,36061031100
1385,36061031703
1386,36061031704
1387,36061031900
1388,36081000100
1389,36081000200
1390,36081000400
1391,36081000600
1392,36081000700
1393,36081000800
1394,36081001000
1395,36081001200
1396,36081001400
1397,36081001600
1398,36081001800
1399,36081001900
1400,36081002000
1401,36081002200
1402,36081002400
1403,36081002500
1404,36081002600
1405,36081002800
1406,36081003000
1407,36081003100
1408,36081003200
1409,36081003300
1410,36081003400
1411,36081003600
1412,36081003700
1413,36081003800
1414,36081003900
1415,36081004001
1416,36081004002
1417,36081004200
1418,36081004300
1419,36081004401
1420,36081004500
1421,36081004700
1422,36081005000
1423,36081005100
1424,36081005200
1425,36081005300
1426,36081005400
1427,36081005500
1428,36081005700
1429,36081005800
1430,36081005900
1431,36081006100
1432,36081006201
1433,36081006202
1434,36081006300
1435,36081006501
1436,36081006502
1437,36081006900
1438,36081007100
1439,36081007300
1440,36081007500
1441,36081007700
1442,36081007900
1443,36081008100
1444,36081008300
1445,36081008500
1446,36081008600
1447,36081008700
1448,36081008800
1449,36081009100
1450,36081009400
1451,36081009500
1452,36081009600
1453,36081009700
1454,36081009800
1455,36081009900
1456,36081010000
1457,36081010100
1458,36081010200
1459,36081010300
1460,36081010400
1461,36081010500
1462,36081010600
1463,36081010701
1464,36081010800
1465,36081011000
1466,36081011100
1467,36081011200
1468,36081011300
1469,36081011400
1470,36081011500
1471,36081011600
1472,36081011700
1473,36081011800
1474,36081011900
1475,36081012000
1476,36081012100
1477,36081012200
1478,36081012301
1479,36081012400
1480,36081012500
1481,36081012601
1482,36081012602
1483,36081012800
1484,36081013000
1485,36081013200
1486,36081013400
1487,36081013500
1488,36081013600
1489,36081013700
1490,36081013800
1491,36081014000
1492,36081014100
1493,36081014201
1494,36081014202
1495,36081014300
1496,36081014400
1497,36081014500
1498,36081014700
1499,36081014800
1500,36081014900
1501,36081015000
1502,36081015100
1503,36081015200
1504,36081015300
1505,36081015400
1506,36081015500
1507,36081015600
1508,36081015700
1509,36081015801
1510,36081015802
1511,36081015900
1512,36081016100
1513,36081016300
1514,36081016400
1515,36081016600
1516,36081016800
1517,36081016900
1518,36081017000
1519,36081017100
1520,36081017200
1521,36081017400
1522,36081017600
1523,36081017800
1524,36081017900
1525,36081018000
1526,36081018101
1527,36081018102
1528,36081018200
1529,36081018300
1530,36081018401
1531,36081018402
1532,36081018501
1533,36081018502
1534,36081018600
1535,36081018700
1536,36081018800
1537,36081018900
1538,36081019000
1539,36081019200
1540,36081019400
1541,36081019600
1542,36081019800
1543,36081019900
1544,36081020200
1545,36081020400
1546,36081020500
1547,36081020600
1548,36081020800
1549,36081021200
1550,36081021400
1551,36081021600
1552,36081021900
1553,36081022001
1554,36081022002
1555,36081022900
1556,36081023000
1557,36081023200
1558,36081023500
1559,36081023600
1560,36081023800
1561,36081024000
1562,36081024300
1563,36081024500
1564,36081024600
1565,36081024700
1566,36081024900
1567,36081025100
1568,36081025301
1569,36081025302
1570,36081025400
1571,36081025500
1572,36081025700
1573,36081025800
1574,36081025900
1575,36081026000
1576,36081026100
1577,36081026200
1578,36081026300
1579,36081026400
1580,36081026500
1581,36081026600
1582,36081026700
1583,36081026901
1584,36081026902
1585,36081027000
1586,36081027100
1587,36081027200
1588,36081027300
1589,36081027400
1590,36081027500
1591,36081027600
1592,36081027700
1593,36081027800
1594,36081027900
1595,36081028000
1596,36081028100
1597,36081028200
1598,36081028300
1599,36081028400
1600,36081028500
1601,36081028700
1602,36081028800
1603,36081028900
1604,36081029100
1605,36081029300
1606,36081029400
1607,36081029500
1608,36081029700
1609,36081029900
1610,36081030600
1611,36081030902
1612,36081030903
1613,36081030904
1614,36081031700
1615,36081032000
1616,36081032700
1617,36081032800
1618,36081032900
1619,36081033000
1620,36081033100
1621,36081033401
1622,36081033402
1623,36081033700
1624,36081033900
1625,36081034700
1626,36081035100
1627,36081035200
1628,36081035300
1629,36081035700
1630,36081035800
1631,36081036100
1632,36081036300
1633,36081036500
1634,36081036600
1635,36081036700
1636,36081036800
1637,36081037100
1638,36081037300
1639,36081037500
1640,36081037600
1641,36081037700
1642,36081037900
1643,36081038100
1644,36081038301
1645,36081038302
1646,36081038400
1647,36081039400
1648,36081039800
1649,36081039900
1650,36081040000
1651,36081040100
1652,36081040200
1653,36081040300
1654,36081040400
1655,36081040500
1656,36081040700
1657,36081040900
1658,36081041100
1659,36081041300
1660,36081041400
1661,36081041500
1662,36081042400
1663,36081042600
1664,36081042700
1665,36081043200
1666,36081043400
1667,36081043701
1668,36081043702
1669,36081043900
1670,36081044000
1671,36081044301
1672,36081044302
1673,36081044400
1674,36081044601
1675,36081044602
1676,36081044800
1677,36081045000
1678,36081045200
1679,36081045400
1680,36081045500
1681,36081045600
1682,36081045700
1683,36081045800
1684,36081045900
1685,36081046000
1686,36081046100
1687,36081046200
1688,36081046300
1689,36081046400
1690,36081046500
1691,36081046600
1692,36081046700
1693,36081046800
1694,36081046900
1695,36081047000
1696,36081047100
1697,36081047200
1698,36081047300
1699,36081047500
1700,36081047600
1701,36081047800
1702,36081047900
1703,36081048000
1704,36081048100
1705,36081048200
1706,36081048300
1707,36081048400
1708,36081048500
1709,36081048900
1710,36081049200
1711,36081049301
1712,36081049302
1713,36081049500
1714,36081049600
1715,36081049700
1716,36081049900
1717,36081050000
1718,36081050201
1719,36081050202
1720,36081050400
1721,36081050500
1722,36081050600
1723,36081050700
1724,36081050800
1725,36081051000
1726,36081051100
1727,36081051200
1728,36081051300
1729,36081051500
1730,36081051600
1731,36081051700
1732,36081051800
1733,36081052000
1734,36081052100
1735,36081052200
1736,36081052400
1737,36081052500
1738,36081052600
1739,36081052800
1740,36081053000
1741,36081053100
1742,36081053200
1743,36081053401
1744,36081053500
1745,36081053601
1746,36081053800
1747,36081053900
1748,36081054000
1749,36081054200
1750,36081054500
1751,36081054700
1752,36081054800
1753,36081054900
1754,36081055100
1755,36081055200
1756,36081055300
1757,36081055400
1758,36081055500
1759,36081055600
1760,36081055700
1761,36081055800
1762,36081055900
1763,36081056000
1764,36081056100
1765,36081056200
1766,36081056400
1767,36081056500
1768,36081056600
1769,36081056700
1770,36081056800
1771,36081057700
1772,36081057900
1773,36081058000
1774,36081058100
1775,36081058200
1776,36081058300
1777,36081058500
1778,36081058700
1779,36081058900
1780,36081059000
1781,36081059100
1782,36081059200
1783,36081059300
1784,36081059400
1785,36081059500
1786,36081059600
1787,36081059800
1788,36081059900
1789,36081060000
1790,36081060100
1791,36081060300
1792,36081060600
1793,36081060701
1794,36081060800
1795,36081061000
1796,36081061200
1797,36081061301
1798,36081061302
1799,36081061400
1800,36081061601
1801,36081061602
1802,36081061800
1803,36081061900
1804,36081062000
1805,36081062100
1806,36081062200
1807,36081062300
1808,36081062400
1809,36081062500
1810,36081062600
1811,36081062700
1812,36081062900
1813,36081063000
1814,36081063200
1815,36081063301
1816,36081063302
1817,36081063500
1818,36081063700
1819,36081063800
1820,36081063900
1821,36081064101
1822,36081064102
1823,36081064500
1824,36081064600
1825,36081065000
1826,36081065400
1827,36081065501
1828,36081065600
1829,36081065702
1830,36081065703
1831,36081065900
1832,36081066000
1833,36081066100
1834,36081066300
1835,36081066400
1836,36081066501
1837,36081066701
1838,36081066900
1839,36081067100
1840,36081067700
1841,36081067900
1842,36081068000
1843,36081068200
1844,36081068300
1845,36081068700
1846,36081069000
1847,36081069300
1848,36081069400
1849,36081069500
1850,36081069701
1851,36081069702
1852,36081070300
1853,36081070700
1854,36081070900
1855,36081071100
1856,36081071303
1857,36081071304
1858,36081071305
1859,36081071306
1860,36081071600
1861,36081071701
1862,36081071702
1863,36081071900
1864,36081072100
1865,36081072300
1866,36081072900
1867,36081073100
1868,36081073700
1869,36081073900
1870,36081074100
1871,36081074300
1872,36081074500
